company_name,index
JPMorgan Chase,JPM
Bank of America,BAC
Citigroup,C
Wells Fargo,WFC
U.S. Bancorp,USB
Visa,V
Mastercard,MA
American Express,AXP
Discover Financial,DFS
Capital One,COF
Johnson & Johnson,JNJ
Pfizer,PFE
Merck & Co.,MRK
Bristol-Myers Squibb,BMY
AbbVie,ABBV
Amgen,AMGN
Gilead Sciences,GILD
Biogen,BIIB
Regeneron,REGN
Vertex Pharmaceuticals,VRTX
NextEra Energy,NEE
Duke Energy,DUK
Dominion Energy,D
Southern Company,SO
Exelon,EXC
Apple,AAPL
Microsoft,MSFT
Alphabet,GOOGL
Meta Platforms,META
Oracle,ORCL
Amazon,AMZN
Alibaba,BABA
MercadoLibre,MELI
Shopify,SHOP
JD.com,JD
Nvidia,NVDA
Intel,INTC
AMD,AMD
Broadcom,AVGO
Qualcomm,QCOM
Verizon,VZ
AT&T,T
T-Mobile US,TMUS
Comcast,CMCSA
Charter Communications,CHTR
Tesla,TSL
Ford,F
General Motors,GM
Toyota,TM
Rivian,RIVN
Lockheed Martin,LMT
Boeing,BA
Raytheon,RTX
Northrop Grumman,NOC
General Dynamics,GD
Exxon Mobil,XOM
Chevron,CVX
ConocoPhillips,COP
Schlumberger,SLB
Halliburton,HAL
Procter & Gamble,PG
Coca-Cola,KO
PepsiCo,PEP
Colgate-Palmolive,CL
Unilever,UL
Walmart,WMT
Costco,COST
Target,TGT
Home Depot,HD
Lowe's,LOW
Netflix,NFLX
Disney,DIS
Warner Bros. Discovery,WBD
Paramount Global,PARA
Roku,ROKU
Goldman Sachs,GS
Morgan Stanley,MS
Charles Schwab,SCHW
BlackRock,BLK
CME Group,CME
